№ анкеты;Академическая степень;Факультет;Кафедра;Специальность/Группа образовательных программ;Курс обучения;Язык обучения;Язык заполнения анкеты;"Насколько Вы удовлетворены выбором Вашей образовательной программы?
";"Если бы у Вас была возможность выбрать снова, Вы бы выбрали ту же образовательную программу?
";"Когда Вы выбирали образовательную программу, насколько важным для Вас был каждый из следующих факторов, оцените согласно шкале ниже на вопросы
3.1 Личный интерес к предметной области (что Вам было интересно изучать) ?


";"Когда Вы выбирали образовательную программу, насколько важным для Вас был каждый из следующих факторов, оцените согласно шкале ниже на вопросы
3.2. Ваши знания по школьным предметам (например: математика, физика, биология, история и т.д.)?
";"Когда Вы выбирали образовательную программу, насколько важным для Вас был каждый из следующих факторов, оцените согласно шкале ниже на вопросы
3.3.Ваши личные навыки и способности (логика, коммуникация, творчество, практические умения и др.) ?
";"Когда Вы выбирали образовательную программу, насколько важным для Вас был каждый из следующих факторов, оцените согласно шкале ниже на вопросы
3.4. Совпадение программы с Вашими личными ценностями (например: помогать людям, заниматься инновациями, реализовывать творчество) ?
";"Повлияло ли на ваш выбор наличие гранта/поступление по гранту?
";"Ваш курс обучения:
";"Пол:
"
1888;Бакалавриат;Высшая школа образования;Кафедра Теории и практики иностранных языков;Подготовка учителей иностранного языка;2;Казахский язык;Русский язык;Ни да, ни нет;Нет;Средне важно;Важно;Средне важно;Маловажно;Да, наличие гранта сыграло роль, но программа тоже интересовала;2 курс;Женский
1889;Бакалавриат;Высшая школа образования;Кафедра Теории и практики иностранных языков;Подготовка учителей иностранного языка;2;Казахский язык;Русский язык;Ни да, ни нет;Затрудняюсь ответить;Важно;Средне важно;Очень важно;Важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;2 курс;Женский
1890;Бакалавриат;Высшая школа образования;Кафедра Теории и практики иностранных языков;Подготовка учителей иностранного языка;2;Русский язык;Русский язык;Скорее удовлетворён;Затрудняюсь ответить;Важно;Важно;Важно;Важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;2 курс;Мужской
1891;Бакалавриат;Высшая школа образования;Кафедра Теории и практики иностранных языков;Подготовка учителей иностранного языка;2;Казахский язык;Русский язык;Скорее удовлетворён;Да;Очень важно;Средне важно;Очень важно;Важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;2 курс;Женский
1892;Бакалавриат;Высшая школа образования;Кафедра Теории и практики иностранных языков;Подготовка учителей иностранного языка;2;Казахский язык;Русский язык;Полностью удовлетворён;Да;Очень важно;Важно;Средне важно;Средне важно;Нет, грант не имел значения;2 курс;Мужской
1893;Бакалавриат;Высшая школа образования;Кафедра Теории и практики иностранных языков;Подготовка учителей иностранного языка;2;Казахский язык;Русский язык;Скорее удовлетворён;Затрудняюсь ответить;Средне важно;Средне важно;Средне важно;Средне важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;2 курс;Женский
1894;Бакалавриат;Высшая школа образования;Кафедра Теории и практики иностранных языков;Подготовка учителей иностранного языка;2;Казахский язык;Русский язык;Скорее удовлетворён;Да;Важно;Средне важно;Очень важно;Средне важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;2 курс;Женский
1895;Бакалавриат;Высшая школа образования;Кафедра Педагогики;Дошкольное воспитание и обучение;2;Казахский язык;Русский язык;Полностью удовлетворён;Да;Средне важно;Важно;Очень важно;Очень важно;Да, поступил(а) только из-за наличия гранта;2 курс;Женский
1896;Бакалавриат;Высшая школа образования;Кафедра Теории и практики иностранных языков;Подготовка учителей иностранного языка;2;Казахский язык;Русский язык;Полностью удовлетворён;Да;Важно;Важно;Важно;Важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;2 курс;Женский
1897;Бакалавриат;Высшая школа образования;Кафедра Теории и практики иностранных языков;Подготовка учителей иностранного языка;2;Казахский язык;Русский язык;Полностью удовлетворён;Да;Очень важно;Не важно;Очень важно;Очень важно;Нет, грант не имел значения;2 курс;Женский
1898;Бакалавриат;Высшая школа образования;Кафедра Теории и практики иностранных языков;Подготовка учителей иностранного языка;2;Казахский язык;Русский язык;Полностью удовлетворён;Да;Важно;Очень важно;Очень важно;Очень важно;Нет, грант не имел значения;2 курс;Женский
1899;Бакалавриат;Высшая школа образования;Кафедра Теории и практики иностранных языков;Подготовка учителей иностранного языка;2;Казахский язык;Русский язык;Полностью удовлетворён;Да;Очень важно;Очень важно;Очень важно;Очень важно;Нет, грант не имел значения;2 курс;Женский
1900;Бакалавриат;Высшая школа образования;Кафедра Педагогики;Дошкольное воспитание и обучение;2;Казахский язык;Русский язык;Скорее удовлетворён;Нет;Средне важно;Важно;Важно;Очень важно;Да, поступил(а) только из-за наличия гранта;2 курс;Женский
1901;Бакалавриат;Высшая школа образования;Кафедра Теории и практики иностранных языков;Подготовка учителей иностранного языка;2;Казахский язык;Русский язык;Ни да, ни нет;Нет;Средне важно;Средне важно;Важно;Средне важно;Да, поступил(а) только из-за наличия гранта;2 курс;Мужской
1902;Бакалавриат;Высшая школа образования;Кафедра Теории и практики иностранных языков;Подготовка учителей иностранного языка;2;Казахский язык;Русский язык;Скорее удовлетворён;Да;Очень важно;Средне важно;Средне важно;Средне важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;2 курс;Женский
1903;Бакалавриат;Высшая школа образования;Кафедра Теории и практики иностранных языков;Подготовка учителей иностранного языка;2;Казахский язык;Русский язык;Полностью удовлетворён;Да;Очень важно;Очень важно;Очень важно;Очень важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;2 курс;Женский
1904;Бакалавриат;Высшая школа образования;Кафедра Физической культуры и спорта;Подготовка учителей физической культуры;2;Казахский язык;Русский язык;Полностью удовлетворён;Затрудняюсь ответить;Важно;Важно;Важно;Важно;Нет, грант не имел значения;2 курс;Мужской
1905;Бакалавриат;Высшая школа образования;Кафедра Физической культуры и спорта;Подготовка учителей физической культуры;2;Казахский язык;Русский язык;Совсем не удовлетворён;Нет;Не важно;Не важно;Не важно;Не важно;Да, поступил(а) только из-за наличия гранта;2 курс;Мужской
1906;Бакалавриат;Высшая школа образования;Кафедра Теории и практики иностранных языков;Подготовка учителей иностранного языка;2;Казахский язык;Русский язык;Скорее удовлетворён;Затрудняюсь ответить;Средне важно;Маловажно;Важно;Важно;Нет, грант не имел значения;2 курс;Женский
1907;Бакалавриат;Высшая школа образования;Кафедра Теории и практики иностранных языков;Подготовка учителей иностранного языка;2;Русский язык;Русский язык;Полностью удовлетворён;Да;Средне важно;Маловажно;Средне важно;Средне важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;2 курс;Женский
1908;Бакалавриат;Высшая школа образования;Кафедра Теории и практики иностранных языков;Подготовка учителей иностранного языка;2;Казахский язык;Русский язык;Ни да, ни нет;Да;Важно;Важно;Важно;Важно;Да, поступил(а) только из-за наличия гранта;2 курс;Женский
1909;Бакалавриат;Высшая школа образования;Кафедра Педагогики;Дошкольное воспитание и обучение;2;Казахский язык;Русский язык;Полностью удовлетворён;Да;Важно;Важно;Важно;Важно;Да, поступил(а) только из-за наличия гранта;2 курс;Женский
1910;Бакалавриат;Высшая школа образования;Кафедра Теории и практики иностранных языков;Подготовка учителей иностранного языка;2;Казахский язык;Русский язык;Полностью удовлетворён;Да;Средне важно;Средне важно;Средне важно;Средне важно;Нет, грант не имел значения;2 курс;Женский
1911;Бакалавриат;Высшая школа образования;Кафедра Теории и практики иностранных языков;Подготовка учителей иностранного языка;2;Казахский язык;Русский язык;Скорее удовлетворён;Затрудняюсь ответить;Очень важно;Не важно;Важно;Маловажно;Да, наличие гранта сыграло роль, но программа тоже интересовала;2 курс;Женский
1912;Бакалавриат;Высшая школа образования;Кафедра Теории и практики иностранных языков;Подготовка учителей иностранного языка;2;Русский язык;Русский язык;Полностью удовлетворён;Да;Очень важно;Средне важно;Средне важно;Очень важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;2 курс;Женский
1913;Бакалавриат;Высшая школа образования;Кафедра Педагогики;Подготовка социальных педагогов;2;Казахский язык;Русский язык;Полностью удовлетворён;Да;Средне важно;Средне важно;Средне важно;Важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;2 курс;Женский
1914;Бакалавриат;Высшая школа образования;Кафедра Теории и практики иностранных языков;Подготовка учителей иностранного языка;2;Казахский язык;Русский язык;Скорее удовлетворён;Да;Очень важно;Очень важно;Очень важно;Очень важно;Нет, грант не имел значения;2 курс;Женский
1915;Бакалавриат;Высшая школа образования;Кафедра Теории и практики иностранных языков;Подготовка учителей иностранного языка;2;Казахский язык;Русский язык;Ни да, ни нет;Да;Средне важно;Средне важно;Важно;Средне важно;Да, поступил(а) только из-за наличия гранта;2 курс;Женский
1916;Бакалавриат;Высшая школа образования;Кафедра Теории и практики иностранных языков;Подготовка учителей иностранного языка;2;Казахский язык;Русский язык;Ни да, ни нет;Затрудняюсь ответить;Средне важно;Важно;Важно;Важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;2 курс;Женский
1917;Бакалавриат;Высшая школа образования;Кафедра Теории и практики иностранных языков;Подготовка учителей иностранного языка;2;Казахский язык;Русский язык;Ни да, ни нет;Нет;Важно;Важно;Важно;Важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;2 курс;Женский
1918;Бакалавриат;Высшая школа образования;Кафедра Теории и практики иностранных языков;Подготовка учителей иностранного языка;2;Казахский язык;Русский язык;Скорее удовлетворён;Да;Важно;Важно;Важно;Средне важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;2 курс;Женский
1919;Бакалавриат;Высшая школа образования;Кафедра Теории и практики иностранных языков;Подготовка учителей иностранного языка;2;Казахский язык;Русский язык;Полностью удовлетворён;Затрудняюсь ответить;Средне важно;Очень важно;Не важно;Средне важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;2 курс;Мужской
1920;Бакалавриат;Высшая школа образования;Кафедра Теории и практики иностранных языков;Подготовка учителей иностранного языка;2;Казахский язык;Русский язык;Скорее не удовлетворён;Затрудняюсь ответить;Маловажно;Средне важно;Важно;Маловажно;Нет, грант не имел значения;2 курс;Женский
1921;Бакалавриат;Высшая школа образования;Кафедра Теории и практики иностранных языков;Подготовка учителей иностранного языка;2;Казахский язык;Русский язык;Полностью удовлетворён;Да;Важно;Важно;Важно;Важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;2 курс;Женский
1922;Бакалавриат;Высшая школа образования;Кафедра Теории и практики иностранных языков;Подготовка учителей иностранного языка;2;Русский язык;Русский язык;Скорее не удовлетворён;Нет;Важно;Средне важно;Важно;Важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;2 курс;Женский
1923;Бакалавриат;Высшая школа образования;Кафедра Теории и практики иностранных языков;Подготовка учителей иностранного языка;2;Казахский язык;Русский язык;Скорее удовлетворён;Затрудняюсь ответить;Важно;Важно;Очень важно;Средне важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;2 курс;Мужской
1924;Бакалавриат;Высшая школа образования;Кафедра Теории и практики иностранных языков;Подготовка учителей иностранного языка;2;Казахский язык;Русский язык;Ни да, ни нет;Да;Важно;Очень важно;Важно;Средне важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;2 курс;Женский
1925;Бакалавриат;Высшая школа образования;Кафедра Педагогики;Дошкольное воспитание и обучение;2;Казахский язык;Русский язык;Полностью удовлетворён;Да;Очень важно;Очень важно;Очень важно;Очень важно;Да, поступил(а) только из-за наличия гранта;2 курс;Женский
1926;Бакалавриат;Высшая школа образования;Кафедра Теории и практики иностранных языков;Подготовка учителей иностранного языка;2;Казахский язык;Русский язык;Полностью удовлетворён;Да;Очень важно;Очень важно;Очень важно;Очень важно;Да, поступил(а) только из-за наличия гранта;2 курс;Мужской
1927;Бакалавриат;Высшая школа образования;Кафедра Теории и практики иностранных языков;Подготовка учителей иностранного языка;2;Казахский язык;Русский язык;Скорее удовлетворён;Затрудняюсь ответить;Очень важно;Очень важно;Очень важно;Очень важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;2 курс;Женский
1928;Бакалавриат;Высшая школа образования;Кафедра Теории и практики иностранных языков;Подготовка учителей иностранного языка;3;Казахский язык;Русский язык;Полностью удовлетворён;Да;Очень важно;Очень важно;Очень важно;Важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Женский
1929;Бакалавриат;Высшая школа образования;Кафедра Теории и практики иностранных языков;Подготовка учителей иностранного языка;2;Казахский язык;Русский язык;Скорее удовлетворён;Затрудняюсь ответить;Средне важно;Маловажно;Не важно;Важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;2 курс;Женский
1930;Бакалавриат;Высшая школа образования;Кафедра Теории и практики иностранных языков;Подготовка учителей иностранного языка;2;Казахский язык;Русский язык;Скорее удовлетворён;Да;Важно;Маловажно;Важно;Очень важно;Нет, грант не имел значения;2 курс;Женский
1931;Бакалавриат;Высшая школа образования;Кафедра Теории и практики иностранных языков;Подготовка учителей иностранного языка;2;Казахский язык;Русский язык;Полностью удовлетворён;Да;Очень важно;Очень важно;Очень важно;Очень важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;2 курс;Женский
1932;Бакалавриат;Высшая школа образования;Кафедра Теории и практики иностранных языков;Подготовка учителей иностранного языка;2;Казахский язык;Русский язык;Скорее не удовлетворён;Нет;Очень важно;Маловажно;Важно;Очень важно;Нет, грант не имел значения;2 курс;Женский
1933;Бакалавриат;Высшая школа образования;Кафедра Теории и практики иностранных языков;Подготовка учителей иностранного языка;2;Английский язык;Русский язык;Скорее удовлетворён;Да;Очень важно;Важно;Очень важно;Важно;Да, поступил(а) только из-за наличия гранта;2 курс;Женский
1934;Бакалавриат;Высшая школа образования;Кафедра Теории и практики иностранных языков;Подготовка учителей иностранного языка;2;Английский язык;Русский язык;Полностью удовлетворён;Да;Важно;Важно;Важно;Важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;2 курс;Женский
1935;Бакалавриат;Высшая школа образования;Кафедра Теории и практики иностранных языков;Подготовка учителей иностранного языка;2;Казахский язык;Русский язык;Полностью удовлетворён;Да;Важно;Важно;Важно;Очень важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;2 курс;Женский
1936;Бакалавриат;Высшая школа образования;Кафедра Теории и практики иностранных языков;Подготовка учителей иностранного языка;2;Казахский язык;Русский язык;Ни да, ни нет;Нет;Важно;Важно;Важно;Маловажно;Да, наличие гранта сыграло роль, но программа тоже интересовала;2 курс;Женский
1937;Бакалавриат;Высшая школа образования;Кафедра Теории и практики иностранных языков;Подготовка учителей иностранного языка;2;Казахский язык;Русский язык;Ни да, ни нет;Нет;Важно;Очень важно;Важно;Очень важно;Нет, грант не имел значения;2 курс;Женский
1938;Бакалавриат;Высшая школа образования;Кафедра Теории и практики иностранных языков;Подготовка учителей иностранного языка;2;Казахский язык;Русский язык;Скорее удовлетворён;Затрудняюсь ответить;Средне важно;Средне важно;Средне важно;Средне важно;Да, поступил(а) только из-за наличия гранта;2 курс;Женский
1939;Бакалавриат;Высшая школа образования;Кафедра Теории и практики иностранных языков;Подготовка учителей иностранного языка;2;Казахский язык;Русский язык;Полностью удовлетворён;Да;Средне важно;Средне важно;Средне важно;Средне важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;2 курс;Женский
1940;Бакалавриат;Высшая школа образования;Кафедра Теории и практики иностранных языков;Подготовка учителей иностранного языка;2;Казахский язык;Русский язык;Ни да, ни нет;Да;Важно;Средне важно;Важно;Средне важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;2 курс;Женский
1941;Бакалавриат;Высшая школа образования;Кафедра Теории и практики иностранных языков;Подготовка учителей иностранного языка;2;Казахский язык;Русский язык;Полностью удовлетворён;Затрудняюсь ответить;Очень важно;Очень важно;Очень важно;Очень важно;Нет, грант не имел значения;2 курс;Женский
1942;Бакалавриат;Высшая школа образования;Кафедра Теории и практики иностранных языков;Подготовка учителей иностранного языка;2;Казахский язык;Русский язык;Скорее удовлетворён;Да;Средне важно;Маловажно;Маловажно;Важно;Нет, грант не имел значения;2 курс;Женский
1943;Бакалавриат;Высшая школа образования;Кафедра Физической культуры и спорта;Подготовка учителей физической культуры;3;Казахский язык;Русский язык;Полностью удовлетворён;Да;Очень важно;Средне важно;Очень важно;Очень важно;Да, поступил(а) только из-за наличия гранта;3 курс;Мужской
1944;Бакалавриат;Высшая школа образования;Кафедра Теории и практики иностранных языков;Подготовка учителей иностранного языка;2;Русский язык;Русский язык;Скорее удовлетворён;Да;Важно;Важно;Важно;Важно;Нет, грант не имел значения;2 курс;Женский
1945;Бакалавриат;Высшая школа образования;Кафедра Теории и практики иностранных языков;Подготовка учителей иностранного языка;2;Русский язык;Русский язык;Полностью удовлетворён;Да;Важно;Средне важно;Очень важно;Важно;Нет, грант не имел значения;2 курс;Женский
1946;Бакалавриат;Высшая школа образования;Кафедра Теории и практики иностранных языков;Подготовка учителей иностранного языка;2;Русский язык;Русский язык;Полностью удовлетворён;Да;Очень важно;Средне важно;Важно;Важно;Нет, грант не имел значения;2 курс;Женский
1947;Бакалавриат;Высшая школа образования;Кафедра Теории и практики иностранных языков;Подготовка учителей иностранного языка;3;Казахский язык;Русский язык;Скорее удовлетворён;Да;Важно;Средне важно;Важно;Средне важно;Нет, грант не имел значения;3 курс;Женский
1948;Бакалавриат;Высшая школа образования;Кафедра Теории и практики иностранных языков;Подготовка учителей иностранного языка;2;Русский язык;Русский язык;Скорее удовлетворён;Затрудняюсь ответить;Очень важно;Не важно;Средне важно;Очень важно;Нет, грант не имел значения;2 курс;Женский
1949;Бакалавриат;Высшая школа образования;Кафедра Теории и практики иностранных языков;Подготовка учителей иностранного языка;2;Русский язык;Русский язык;Полностью удовлетворён;Да;Важно;Маловажно;Средне важно;Важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;2 курс;Женский
1950;Бакалавриат;Высшая школа образования;Кафедра Теории и практики иностранных языков;Подготовка учителей иностранного языка;2;Русский язык;Русский язык;Скорее удовлетворён;Да;Важно;Маловажно;Важно;Важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;2 курс;Женский
1951;Бакалавриат;Высшая школа образования;Кафедра Физической культуры и спорта;Подготовка учителей физической культуры;2;Русский язык;Русский язык;Полностью удовлетворён;Да;Важно;Важно;Важно;Важно;Нет, грант не имел значения;2 курс;Мужской
1952;Бакалавриат;Высшая школа образования;Кафедра Физической культуры и спорта;Подготовка учителей физической культуры;2;Казахский язык;Русский язык;Полностью удовлетворён;Да;Важно;Важно;Важно;Важно;Нет, грант не имел значения;2 курс;Мужской
1953;Бакалавриат;Высшая школа образования;Кафедра Физической культуры и спорта;Подготовка учителей физической культуры;2;Русский язык;Русский язык;Скорее удовлетворён;Нет;Важно;Не важно;Важно;Не важно;Нет, грант не имел значения;2 курс;Мужской
1954;Бакалавриат;Высшая школа образования;Кафедра Физической культуры и спорта;Подготовка учителей физической культуры;2;Казахский язык;Русский язык;Ни да, ни нет;Затрудняюсь ответить;Средне важно;Маловажно;Средне важно;Средне важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;2 курс;Мужской
1955;Бакалавриат;Высшая школа образования;Кафедра Физической культуры и спорта;Подготовка учителей физической культуры;2;Казахский язык;Русский язык;Совсем не удовлетворён;Да;Важно;Важно;Средне важно;Средне важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;2 курс;Мужской
1956;Бакалавриат;Высшая школа образования;Кафедра Физической культуры и спорта;Подготовка учителей физической культуры;2;Казахский язык;Русский язык;Совсем не удовлетворён;Нет;Не важно;Очень важно;Не важно;Маловажно;Да, поступил(а) только из-за наличия гранта;2 курс;Мужской
1957;Бакалавриат;Высшая школа образования;Кафедра Физической культуры и спорта;Подготовка учителей физической культуры;2;Казахский язык;Русский язык;Скорее удовлетворён;Да;Важно;Важно;Очень важно;Важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;2 курс;Женский
1958;Бакалавриат;Высшая школа образования;Кафедра Физической культуры и спорта;Подготовка учителей физической культуры;2;Русский язык;Русский язык;Ни да, ни нет;Затрудняюсь ответить;Средне важно;Средне важно;Средне важно;Средне важно;Нет, грант не имел значения;2 курс;Мужской
1959;Бакалавриат;Высшая школа образования;Кафедра Физической культуры и спорта;Подготовка учителей физической культуры;2;Казахский язык;Русский язык;Полностью удовлетворён;Да;Важно;Средне важно;Средне важно;Средне важно;Нет, грант не имел значения;2 курс;Мужской
1960;Бакалавриат;Высшая школа образования;Кафедра Физической культуры и спорта;Подготовка учителей физической культуры;2;Казахский язык;Русский язык;Полностью удовлетворён;Да;Очень важно;Важно;Важно;Важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;2 курс;Мужской
1961;Бакалавриат;Высшая школа образования;Кафедра Физической культуры и спорта;Подготовка учителей физической культуры;2;Казахский язык;Русский язык;Скорее удовлетворён;Затрудняюсь ответить;Средне важно;Средне важно;Важно;Средне важно;Да, поступил(а) только из-за наличия гранта;3 курс;Мужской
1962;Бакалавриат;Высшая школа образования;Кафедра Физической культуры и спорта;Подготовка учителей физической культуры;2;Казахский язык;Русский язык;Скорее не удовлетворён;Да;Не важно;Маловажно;Маловажно;Не важно;Да, поступил(а) только из-за наличия гранта;2 курс;Мужской
1963;Бакалавриат;Высшая школа образования;Кафедра Физической культуры и спорта;Подготовка учителей физической культуры;2;Казахский язык;Русский язык;Совсем не удовлетворён;Нет;Средне важно;Средне важно;Средне важно;Средне важно;Да, поступил(а) только из-за наличия гранта;2 курс;Мужской
1964;Бакалавриат;Высшая школа образования;Кафедра Физической культуры и спорта;Подготовка учителей физической культуры;2;Казахский язык;Русский язык;Скорее удовлетворён;Да;Важно;Очень важно;Важно;Средне важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;2 курс;Мужской
1965;Бакалавриат;Высшая школа образования;Кафедра Физической культуры и спорта;Подготовка учителей физической культуры;2;Казахский язык;Русский язык;Скорее удовлетворён;Да;Не важно;Маловажно;Маловажно;Средне важно;Да, поступил(а) только из-за наличия гранта;2 курс;Мужской
1966;Бакалавриат;Высшая школа образования;Кафедра Физической культуры и спорта;Подготовка учителей физической культуры;2;Казахский язык;Русский язык;Скорее удовлетворён;Затрудняюсь ответить;Важно;Не важно;Важно;Важно;Нет, грант не имел значения;2 курс;Мужской
1967;Бакалавриат;Высшая школа образования;Кафедра Педагогики;Педагогика и психология;2;Казахский язык;Русский язык;Скорее удовлетворён;Да;Важно;Маловажно;Очень важно;Очень важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;2 курс;Женский
1968;Бакалавриат;Высшая школа образования;Кафедра Педагогики;Педагогика и психология;2;Русский язык;Русский язык;Ни да, ни нет;Нет;Средне важно;Средне важно;Средне важно;Средне важно;Да, поступил(а) только из-за наличия гранта;2 курс;Женский
1969;Бакалавриат;Высшая школа образования;Кафедра Педагогики;Педагогика и психология;2;Русский язык;Русский язык;Скорее удовлетворён;Да;Важно;Важно;Важно;Важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;2 курс;Женский
1970;Бакалавриат;Высшая школа образования;Кафедра Педагогики;Педагогика и психология;2;Русский язык;Русский язык;Скорее удовлетворён;Да;Важно;Маловажно;Средне важно;Средне важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;2 курс;Женский
1971;Бакалавриат;Высшая школа образования;Кафедра Педагогики;Педагогика и психология;2;Русский язык;Русский язык;Скорее удовлетворён;Нет;Очень важно;Важно;Очень важно;Очень важно;Нет, грант не имел значения;2 курс;Женский
1972;Бакалавриат;Высшая школа образования;Кафедра Педагогики;Педагогика и психология;2;Казахский язык;Русский язык;Полностью удовлетворён;Затрудняюсь ответить;Важно;Средне важно;Средне важно;Средне важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Женский
1973;Бакалавриат;Высшая школа образования;Кафедра Педагогики;Педагогика и психология;2;Русский язык;Русский язык;Полностью удовлетворён;Да;Очень важно;Важно;Очень важно;Очень важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;2 курс;Женский
1974;Бакалавриат;Высшая школа образования;Кафедра Педагогики;Педагогика и психология;2;Казахский язык;Русский язык;Полностью удовлетворён;Да;Очень важно;Маловажно;Важно;Очень важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;2 курс;Женский
1975;Бакалавриат;Высшая школа образования;Кафедра Педагогики;Педагогика и психология;2;Русский язык;Русский язык;Скорее не удовлетворён;Нет;Очень важно;Очень важно;Очень важно;Очень важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;2 курс;Женский
